,Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal
755,USB,10-k,23/02/2021,206,70,173,252,232,3,7,37
756,USB,10-k,22/02/2022,185,61,184,206,190,1,7,29
757,USB,10-k,27/02/2023,242,87,186,240,236,3,6,38
758,VZ,10-k,25/02/2021,755,315,689,469,409,33,5,108
759,VZ,10-k,11/02/2022,684,320,706,455,363,36,5,93
760,VZ,10-k,10/02/2023,708,315,715,468,374,39,6,92
761,V,10-k,19/11/2010,1367,315,962,960,507,43,13,153
762,V,10-k,18/11/2011,1378,333,964,905,472,37,17,145
763,V,10-k,16/11/2012,1340,312,887,863,425,28,19,126
764,V,10-k,22/11/2013,1235,234,847,849,393,24,8,117
765,V,10-k,21/11/2014,1320,217,875,893,431,30,7,104
766,V,10-k,20/11/2015,1261,234,915,879,425,39,6,122
767,V,10-k,15/11/2016,1207,282,798,834,371,32,2,106
768,V,10-k,17/11/2017,1185,273,765,805,378,42,2,99
769,V,10-k,16/11/2018,1103,291,754,771,398,33,3,101
770,V,10-k,14/11/2019,1077,281,739,761,417,23,1,74
771,V,10-k,19/11/2020,1205,294,798,793,445,28,4,85
772,V,10-k,18/11/2021,1099,273,723,731,406,27,4,73
773,V,10-k,16/11/2022,1126,265,714,709,399,26,3,66
774,WBA,10-k,28/10/2015,1032,757,1027,516,364,47,3,133
775,WBA,10-k,20/10/2016,1046,681,958,564,351,36,4,110
776,WBA,10-k,25/10/2017,1082,651,947,571,348,36,5,119
777,WBA,10-k,11/10/2018,1107,571,984,617,352,24,7,127
778,WBA,10-k,28/10/2019,1185,553,1089,690,383,32,7,117
779,WBA,10-k,15/10/2020,1341,558,1216,703,390,39,7,138
780,WBA,10-k,14/10/2021,1193,652,970,600,337,29,6,99
781,WBA,10-k,24/11/2021,18,164,6,86,21,0,0,2
782,WBA,10-k,13/10/2022,1390,627,1141,639,333,38,6,98
783,WBA,10-k,23/11/2022,16,117,4,69,18,0,0,2
784,WFC,10-k,23/02/2021,95,50,100,206,118,6,6,15
785,WFC,10-k,22/02/2022,86,44,84,209,111,5,6,12
786,WFC,10-k,21/02/2023,94,48,94,207,116,6,6,20
787,WMT,10-k,28/03/2019,802,218,657,456,248,25,8,108
788,WMT,10-k,20/03/2020,792,225,662,441,269,26,8,95
789,WMT,10-k,19/03/2021,893,256,668,481,252,25,6,94
790,WMT,10-k,18/03/2022,984,311,665,506,253,26,7,86
791,XOM,10-k,22/02/2017,459,236,462,258,320,27,5,74
792,XOM,10-k,28/02/2018,495,252,506,312,324,25,4,83
793,XOM,10-k,27/02/2019,511,266,481,280,325,25,4,69
794,XOM,10-k,26/02/2020,486,282,470,278,312,26,4,75
795,XOM,10-k,24/02/2021,615,303,495,264,301,25,5,81
796,XOM,10-k,23/02/2022,620,351,466,243,300,23,6,85
797,XOM,10-k,22/02/2023,681,359,501,259,312,27,6,91
